year,month,period,season,window,seasonid,seasonkey
2020,3,dry,nonbreeding,oct,spring_oct_2019,22
2020,4,dry,nonbreeding,oct,spring_oct_2019,22
2020,5,dry,nonbreeding,oct,spring_oct_2019,22
2020,6,wet,breeding,jun,fall_jun_2020,23
2020,7,wet,breeding,jun,fall_jun_2020,23
2020,8,wet,breeding,jun,fall_jun_2020,23
2020,9,wet,breeding,jun,fall_jun_2020,23
2020,10,dry,nonbreeding,oct,spring_oct_2020,24
2020,11,dry,nonbreeding,oct,spring_oct_2020,24
2020,12,dry,nonbreeding,oct,spring_oct_2020,24
2021,1,dry,nonbreeding,oct,spring_oct_2020,24
2021,2,dry,nonbreeding,oct,spring_oct_2020,24
2021,3,dry,nonbreeding,oct,spring_oct_2020,24
2021,4,dry,nonbreeding,oct,spring_oct_2020,24
2021,5,dry,nonbreeding,oct,spring_oct_2020,24
